sequence,visit_day,packet_wave,priority,request_identifier,request_type,duplicate_rows_collapsed,chapters,cluster_titles,source_parts,offices,related_request_waves,request_reason,first_onsite_action,onsite_actions,target_terms,combined_why_it_matters,dedupe_note,capture_exact_folder_title,capture_box_or_container,capture_folder_date_span,capture_withdrawal_sheet,capture_item_title,capture_item_date,capture_sender_recipient,capture_document_type,capture_classification_markings,capture_page_range,capture_attachments,capture_volume_boundary,candidate_disposition,final_source_note,compiler_notes,packet_source_note
24,Day 1,Day 1 / Packet 20,A,OA/ID 1406,OA/ID request,2,NPT and CTBT; Regional Proliferation Cases,North Korea PC/DC meeting notes and working files; NPT extension briefing and rollout files,"Parts 1 and 4; Parts 2, 3, and 4",Defense Policy / Steven Andreasen; Staff Director / Nancy Soderberg; Staff Director / Nancy Soderberg; NSC regional and speechwriting files,Day 1 / 03.02; Day 1 / 07.02,"Request once; supports NPT and CTBT, Regional Proliferation Cases across 2 staged clusters.","Flag any Egypt, South Africa, Ukraine, NAM, Article VI, or negative-security-assurance material for item-level selection.","Flag any Egypt, South Africa, Ukraine, NAM, Article VI, or negative-security-assurance material for item-level selection.; Pull OA/ID 1394 North Korea PC/DC notes from November 1993 through October 1994, plus May 28, 1996.; Pull OA/ID 1406 North Korea July 1993 and May-June 1994 folders.; Pull OA/ID 1406 NPT Guidance/Themes, NPT February 1995, and NPT Readiness/Rollout.; Pull OA/ID 3850 Nonproliferation Treaty Briefing Book 1995 folders [2]-[7].; Use Intelligence Programs North Korea/North Korea-Nuclear rows as a second-day source lane if access allows.",Agreed Framework; briefing book; DC meeting; DPRK; guidance; North Korea; NPT; PC meeting; readiness; rollout; themes,"The existing regional chapter is DPRK-heavy but still needs actual PC/DC sequence records, not only file-unit titles.; This is the best visible folder-level path from public NPT extension statements to internal policy guidance.",Collapsed 2 queue rows into one reading-room request for OA/ID 1406.,,,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Parts 1 and 4, Parts 2, 3, and 4, OA/ID 1406. De-duplicated request packet; verify exact box, folder title, item date, classification, and pagination on site."
25,Day 1,Day 1 / Packet 21,A,OA/ID 1417,OA/ID request,1,Regional Proliferation Cases,"Iran, Iraq, UNSCOM, and regional WMD files","Parts 2, 3, and 4",Near East and South Asian Affairs; Staff Director; Legal Advisor; Intelligence Programs,Day 1 / 08.08,"Request for Regional Proliferation Cases: Iran, Iraq, UNSCOM, and regional WMD files.",Pull Legal Advisor Iran missile sanctions and WMD folders only after policy folders identify decision dates.,"Pull Legal Advisor Iran missile sanctions and WMD folders only after policy folders identify decision dates.; Pull NESA Iraq/UNSCOM and Iran WMD folders from OA/ID 723-729 and 255.; Pull Staff Director Iraq working files and UNSCOM rows in OA/ID 1405, 1417, and 1418 if time permits.",chemical weapons; Iran; Iraq; missile sanctions; UNSCOM; WMD,"This addresses the biggest regional imbalance: North Korea currently dominates, while Iraq/UNSCOM and Iran WMD/missile issues are underbuilt.",Single-rationale request packet.,,,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Parts 2, 3, and 4, OA/ID 1417. De-duplicated request packet; verify exact box, folder title, item date, classification, and pagination on site."
26,Day 1,Day 1 / Packet 22,A,OA/ID 1493,OA/ID request,1,Regional Proliferation Cases,"Technology transfers to China, ACDA, and missile proliferation",Parts 1 and 3,Access Management / William Leary; Strategic Planning; Office of the National Security Advisor,Day 1 / 09.09,"Request for Regional Proliferation Cases: Technology transfers to China, ACDA, and missile proliferation.",Request 1993-1996 redacted/copy sets first: OA/ID 1797 and 1808.,"Request 1993-1996 redacted/copy sets first: OA/ID 1797 and 1808.; Then pull OA/ID 1809-1813 State, DoD, DoS, CIA, and other third-agency documents.; Use OA/ID 1822 ACDA, Helms/Lott amendment, China Satellites, and Missile Proliferation rows as the targeted nonproliferation subset.",ACDA; China; CIA; DoD; DoS; missile proliferation; satellites; technology transfer,"The current project has only weak China proliferation coverage. These rows expose ACDA, DoD, DoS, CIA, State, redaction sets, and missile-proliferation source paths.",Single-rationale request packet.,,,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Parts 1 and 3, OA/ID 1493. De-duplicated request packet; verify exact box, folder title, item date, classification, and pagination on site."
27,Day 1,Day 1 / Packet 23,A,OA/ID 1797,OA/ID request,1,Regional Proliferation Cases,"Technology transfers to China, ACDA, and missile proliferation",Parts 1 and 3,Access Management / William Leary; Strategic Planning; Office of the National Security Advisor,Day 1 / 09.01,"Request for Regional Proliferation Cases: Technology transfers to China, ACDA, and missile proliferation.",Request 1993-1996 redacted/copy sets first: OA/ID 1797 and 1808.,"Request 1993-1996 redacted/copy sets first: OA/ID 1797 and 1808.; Then pull OA/ID 1809-1813 State, DoD, DoS, CIA, and other third-agency documents.; Use OA/ID 1822 ACDA, Helms/Lott amendment, China Satellites, and Missile Proliferation rows as the targeted nonproliferation subset.",ACDA; China; CIA; DoD; DoS; missile proliferation; satellites; technology transfer,"The current project has only weak China proliferation coverage. These rows expose ACDA, DoD, DoS, CIA, State, redaction sets, and missile-proliferation source paths.",Single-rationale request packet.,,,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Parts 1 and 3, OA/ID 1797. De-duplicated request packet; verify exact box, folder title, item date, classification, and pagination on site."
28,Day 1,Day 1 / Packet 24,A,OA/ID 1808,OA/ID request,1,Regional Proliferation Cases,"Technology transfers to China, ACDA, and missile proliferation",Parts 1 and 3,Access Management / William Leary; Strategic Planning; Office of the National Security Advisor,Day 1 / 09.02,"Request for Regional Proliferation Cases: Technology transfers to China, ACDA, and missile proliferation.",Request 1993-1996 redacted/copy sets first: OA/ID 1797 and 1808.,"Request 1993-1996 redacted/copy sets first: OA/ID 1797 and 1808.; Then pull OA/ID 1809-1813 State, DoD, DoS, CIA, and other third-agency documents.; Use OA/ID 1822 ACDA, Helms/Lott amendment, China Satellites, and Missile Proliferation rows as the targeted nonproliferation subset.",ACDA; China; CIA; DoD; DoS; missile proliferation; satellites; technology transfer,"The current project has only weak China proliferation coverage. These rows expose ACDA, DoD, DoS, CIA, State, redaction sets, and missile-proliferation source paths.",Single-rationale request packet.,,,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Parts 1 and 3, OA/ID 1808. De-duplicated request packet; verify exact box, folder title, item date, classification, and pagination on site."
29,Day 1,Day 1 / Packet 25,A,OA/ID 1809,OA/ID request,1,Regional Proliferation Cases,"Technology transfers to China, ACDA, and missile proliferation",Parts 1 and 3,Access Management / William Leary; Strategic Planning; Office of the National Security Advisor,Day 1 / 09.03,"Request for Regional Proliferation Cases: Technology transfers to China, ACDA, and missile proliferation.",Request 1993-1996 redacted/copy sets first: OA/ID 1797 and 1808.,"Request 1993-1996 redacted/copy sets first: OA/ID 1797 and 1808.; Then pull OA/ID 1809-1813 State, DoD, DoS, CIA, and other third-agency documents.; Use OA/ID 1822 ACDA, Helms/Lott amendment, China Satellites, and Missile Proliferation rows as the targeted nonproliferation subset.",ACDA; China; CIA; DoD; DoS; missile proliferation; satellites; technology transfer,"The current project has only weak China proliferation coverage. These rows expose ACDA, DoD, DoS, CIA, State, redaction sets, and missile-proliferation source paths.",Single-rationale request packet.,,,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Parts 1 and 3, OA/ID 1809. De-duplicated request packet; verify exact box, folder title, item date, classification, and pagination on site."
30,Day 1,Day 1 / Packet 26,A,OA/ID 1810,OA/ID request,1,Regional Proliferation Cases,"Technology transfers to China, ACDA, and missile proliferation",Parts 1 and 3,Access Management / William Leary; Strategic Planning; Office of the National Security Advisor,Day 1 / 09.04,"Request for Regional Proliferation Cases: Technology transfers to China, ACDA, and missile proliferation.",Request 1993-1996 redacted/copy sets first: OA/ID 1797 and 1808.,"Request 1993-1996 redacted/copy sets first: OA/ID 1797 and 1808.; Then pull OA/ID 1809-1813 State, DoD, DoS, CIA, and other third-agency documents.; Use OA/ID 1822 ACDA, Helms/Lott amendment, China Satellites, and Missile Proliferation rows as the targeted nonproliferation subset.",ACDA; China; CIA; DoD; DoS; missile proliferation; satellites; technology transfer,"The current project has only weak China proliferation coverage. These rows expose ACDA, DoD, DoS, CIA, State, redaction sets, and missile-proliferation source paths.",Single-rationale request packet.,,,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Parts 1 and 3, OA/ID 1810. De-duplicated request packet; verify exact box, folder title, item date, classification, and pagination on site."
31,Day 1,Day 1 / Packet 27,A,OA/ID 1812,OA/ID request,1,Regional Proliferation Cases,"Technology transfers to China, ACDA, and missile proliferation",Parts 1 and 3,Access Management / William Leary; Strategic Planning; Office of the National Security Advisor,Day 1 / 09.05,"Request for Regional Proliferation Cases: Technology transfers to China, ACDA, and missile proliferation.",Request 1993-1996 redacted/copy sets first: OA/ID 1797 and 1808.,"Request 1993-1996 redacted/copy sets first: OA/ID 1797 and 1808.; Then pull OA/ID 1809-1813 State, DoD, DoS, CIA, and other third-agency documents.; Use OA/ID 1822 ACDA, Helms/Lott amendment, China Satellites, and Missile Proliferation rows as the targeted nonproliferation subset.",ACDA; China; CIA; DoD; DoS; missile proliferation; satellites; technology transfer,"The current project has only weak China proliferation coverage. These rows expose ACDA, DoD, DoS, CIA, State, redaction sets, and missile-proliferation source paths.",Single-rationale request packet.,,,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Parts 1 and 3, OA/ID 1812. De-duplicated request packet; verify exact box, folder title, item date, classification, and pagination on site."
32,Day 1,Day 1 / Packet 28,A,OA/ID 1813,OA/ID request,1,Regional Proliferation Cases,"Technology transfers to China, ACDA, and missile proliferation",Parts 1 and 3,Access Management / William Leary; Strategic Planning; Office of the National Security Advisor,Day 1 / 09.06,"Request for Regional Proliferation Cases: Technology transfers to China, ACDA, and missile proliferation.",Request 1993-1996 redacted/copy sets first: OA/ID 1797 and 1808.,"Request 1993-1996 redacted/copy sets first: OA/ID 1797 and 1808.; Then pull OA/ID 1809-1813 State, DoD, DoS, CIA, and other third-agency documents.; Use OA/ID 1822 ACDA, Helms/Lott amendment, China Satellites, and Missile Proliferation rows as the targeted nonproliferation subset.",ACDA; China; CIA; DoD; DoS; missile proliferation; satellites; technology transfer,"The current project has only weak China proliferation coverage. These rows expose ACDA, DoD, DoS, CIA, State, redaction sets, and missile-proliferation source paths.",Single-rationale request packet.,,,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Parts 1 and 3, OA/ID 1813. De-duplicated request packet; verify exact box, folder title, item date, classification, and pagination on site."
33,Day 1,Day 1 / Packet 29,A,OA/ID 1822,OA/ID request,1,Regional Proliferation Cases,"Technology transfers to China, ACDA, and missile proliferation",Parts 1 and 3,Access Management / William Leary; Strategic Planning; Office of the National Security Advisor,Day 1 / 09.07,"Request for Regional Proliferation Cases: Technology transfers to China, ACDA, and missile proliferation.",Request 1993-1996 redacted/copy sets first: OA/ID 1797 and 1808.,"Request 1993-1996 redacted/copy sets first: OA/ID 1797 and 1808.; Then pull OA/ID 1809-1813 State, DoD, DoS, CIA, and other third-agency documents.; Use OA/ID 1822 ACDA, Helms/Lott amendment, China Satellites, and Missile Proliferation rows as the targeted nonproliferation subset.",ACDA; China; CIA; DoD; DoS; missile proliferation; satellites; technology transfer,"The current project has only weak China proliferation coverage. These rows expose ACDA, DoD, DoS, CIA, State, redaction sets, and missile-proliferation source paths.",Single-rationale request packet.,,,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Parts 1 and 3, OA/ID 1822. De-duplicated request packet; verify exact box, folder title, item date, classification, and pagination on site."
34,Day 1,Day 1 / Packet 30,A,OA/ID 1854,OA/ID request,2,Chemical and Biological Weapons; Volume Control,"CWC ratification, BWC, Russian BW/CW, and chemical demilitarization; Speechwriting backtrace for public statements","Part 4; Parts 1, 3, and 4","Defense Policy, Legal Advisor, Speechwriting; Speechwriting / Benjamin, Blinken, Boorstin, Widmer",Day 1 / 06.10; Defer / 13.02,"Request once; supports Chemical and Biological Weapons, Volume Control across 2 staged clusters.","Photograph draft provenance only when it identifies a policy office, clearance chain, or attached decision paper.","Photograph draft provenance only when it identifies a policy office, clearance chain, or attached decision paper.; Pull Defense Policy CWC ratification folders in OA/ID 381, 939, and 844.; Pull Legal Advisor CWC/BWC folders: OA/ID 1007, 2471, 3115, 3311, 3390, and 3393.; Pull Speechwriting CWC folders only after internal policy folders, using them to trace public-language clearance.; Use OA/ID 3381 for September 1996 CTBT/CWC/Iraq public-statement cluster and OA/ID 3387 for START II fact sheets/press statement.; Use OA/ID 415/420 Boorstin folders for NPT, test ban, nonproliferation, nuclear smuggling, and North Korea speeches.",BWC; chemical demilitarization; CTBT; CWC; North Korea; NPT; public statement; Russian BW; Russian CW; speechwriting; START II; verification,"This keeps Clinton public statements useful without letting public language crowd out internal memoranda, cables, and meeting notes.; This turns the CBW chapter from public letters into a real ratification, verification, and Russian compliance source map.",Collapsed 2 queue rows into one reading-room request for OA/ID 1854.,,,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Part 4, Parts 1, 3, and 4, OA/ID 1854. De-duplicated request packet; verify exact box, folder title, item date, classification, and pagination on site."
35,Day 1,Day 1 / Packet 31,A,OA/ID 2431,OA/ID request,1,START II Ratification,"START II, Ukraine START, and Nunn-Lugar certification folders",Part 1,Defense Policy / Robert Bell and Anne Witkowsky,Day 1 / 04.03,"Request for START II Ratification: START II, Ukraine START, and Nunn-Lugar certification folders.",Pull OA/ID 2431 Nunn-Lugar Foreign Assistance folders [2]-[4] and compare with 2014-0644-M Nunn-Lugar MDR packet.,Pull OA/ID 2431 Nunn-Lugar Foreign Assistance folders [2]-[4] and compare with 2014-0644-M Nunn-Lugar MDR packet.; Pull OA/ID 940 Nunn-Lugar Certification and Russian START II/START EIF/Ukraine START folders.; Start with OA/ID 380 Russia START II ratification and Ukraine START folders.,certification; entry into force; Nunn-Lugar; START II; Ukraine START,"The START II chapter needs Senate/Duma/ABM context, while CTR/HEU needs the same former-Soviet nuclear-security implementation trail.",Single-rationale request packet.,,,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Part 1, OA/ID 2431. De-duplicated request packet; verify exact box, folder title, item date, classification, and pagination on site."
36,Day 1,Day 1 / Packet 32,A,OA/ID 2471,OA/ID request,2,Nonproliferation Regimes; Chemical and Biological Weapons,"CWC ratification, BWC, Russian BW/CW, and chemical demilitarization; Legal Advisor treaty and sanctions stack","Part 3; Parts 1, 3, and 4","Defense Policy, Legal Advisor, Speechwriting; Legal Advisor / Baker, Krass, DeRosa, Sparks",Day 1 / 06.05; Day 2 / 12.04,"Request once; supports Nonproliferation Regimes, Chemical and Biological Weapons across 2 staged clusters.",Avoid spending first-day time on broad legal files unless they connect to a known decision date.,"Avoid spending first-day time on broad legal files unless they connect to a known decision date.; Prioritize CWC, BWC, CTBT, START II, HEU, WMD, and Iran missile sanctions folders.; Pull Defense Policy CWC ratification folders in OA/ID 381, 939, and 844.; Pull Legal Advisor CWC/BWC folders: OA/ID 1007, 2471, 3115, 3311, 3390, and 3393.; Pull Speechwriting CWC folders only after internal policy folders, using them to trace public-language clearance.; Use Legal Advisor files to verify legal authority, implementation language, and executive-order handling.",ABM; BWC; chemical demilitarization; CTBT; CWC; HEU; Iran missile sanctions; Russian BW; Russian CW; START II; verification; WMD,"The legal files can close citation gaps on CWC regulations, BWC, CTBT, START II, ABM/NMD, HEU executive orders, and Iran missile sanctions.; This turns the CBW chapter from public letters into a real ratification, verification, and Russian compliance source map.",Collapsed 2 queue rows into one reading-room request for OA/ID 2471.,,,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Part 3, Parts 1, 3, and 4, OA/ID 2471. De-duplicated request packet; verify exact box, folder title, item date, classification, and pagination on site."
37,Day 1,Day 1 / Packet 33,A,OA/ID 2483,OA/ID request,2,Counterproliferation; Regional Proliferation Cases,Intelligence Programs counterproliferation and restricted-group files; North Korea PC/DC meeting notes and working files,"Part 2; Parts 2, 3, and 4","Intelligence Programs / George Tenet, Rand Beers, Don Mitchell, Edward Appel; Staff Director / Nancy Soderberg; NSC regional and speechwriting files",Day 1 / 07.05; Day 2 / 10.01,"Request once; supports Counterproliferation, Regional Proliferation Cases across 2 staged clusters.","Pull OA/ID 1394 North Korea PC/DC notes from November 1993 through October 1994, plus May 28, 1996.","Pull OA/ID 1394 North Korea PC/DC notes from November 1993 through October 1994, plus May 28, 1996.; Pull OA/ID 1406 North Korea July 1993 and May-June 1994 folders.; Pull OA/ID 2483 Nonproliferation, North Korea, and North Korea-Nuclear folders.; Pull OA/ID 2498 Counterproliferation, 1996 and OA/ID 2523 Restricted Group Meeting (Nonproliferation), 1995.; Use Intelligence Programs North Korea/North Korea-Nuclear rows as a second-day source lane if access allows.; Use OA/ID 3032 Iran/Iraq folders and OA/ID 2639 CTBT/Chemical Weapons as secondary target lanes.",Agreed Framework; counterproliferation; DC meeting; DPRK; Iran; Iraq; nonproliferation; North Korea; North Korea nuclear; PC meeting; restricted group,"Counterproliferation needs intelligence support, WMD threat, and regional target records, not only PDD/NSC-18 public text.; The existing regional chapter is DPRK-heavy but still needs actual PC/DC sequence records, not only file-unit titles.",Collapsed 2 queue rows into one reading-room request for OA/ID 2483.,,,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Part 2, Parts 2, 3, and 4, OA/ID 2483. De-duplicated request packet; verify exact box, folder title, item date, classification, and pagination on site."
38,Day 1,Day 1 / Packet 34,A,OA/ID 2818,OA/ID request,1,Cooperative Threat Reduction and HEU Agreement,"DOE safeguards, Russian nuclear control, and HEU implementation paths",Part 1,"Defense Policy / Robert Bell, Steven Andreasen, Betsy Pimentel, and Edward Bolton",Day 1 / 05.03,"Request for Cooperative Threat Reduction and HEU Agreement: DOE safeguards, Russian nuclear control, and HEU implementation paths.",Check OA/ID 2818 nuclear summit notification and MTCR/export-control folders for overlap with HEU or nuclear-materials security.,Check OA/ID 2818 nuclear summit notification and MTCR/export-control folders for overlap with HEU or nuclear-materials security.; Pull OA/ID 3592 DOE Safeguards/Security folders [2]-[5].; Pull OA/ID 381 Russian Nuclear Control August 1993 and DoE 1-KT Non-Proliferation Experiment folders.,DOE; HEU; nuclear security; Russian nuclear control; safeguards,"CTR/HEU selection will be weak without DOE, safeguards, nuclear-control, and transparency records.",Single-rationale request packet.,,,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Part 1, OA/ID 2818. De-duplicated request packet; verify exact box, folder title, item date, classification, and pagination on site."
39,Day 1,Day 1 / Packet 35,A,OA/ID 2899,OA/ID request,1,NPT and CTBT,"PRD-19, CTB negotiations, and nuclear-testing policy",Part 1,Defense Policy / Robert Bell and Steven Andreasen,Day 1 / 02.05,"Request for NPT and CTBT: PRD-19, CTB negotiations, and nuclear-testing policy.","For each folder, record exact folder title, date span, classification/restriction markings, item titles, and page ranges.","For each folder, record exact folder title, date span, classification/restriction markings, item titles, and page ranges.; Prioritize OA/ID 267 PRD-19 folders and OA/ID 2899/3333 Andreasen PRD-19 folders.; Then pull OA/ID 381 CTB July-August 1993 folders and OA/ID 3331 CTB negotiations/nuclear testing/France folders.",Comprehensive Test Ban; CTB; hydronuclear; nuclear testing; PRD-19; verification,The public site already has CTBT statements. These folders are the likely internal decision record behind them.,Single-rationale request packet.,,,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Part 1, OA/ID 2899. De-duplicated request packet; verify exact box, folder title, item date, classification, and pagination on site."
40,Day 1,Day 1 / Packet 36,A,OA/ID 3029,OA/ID request,1,Regional Proliferation Cases,North Korea PC/DC meeting notes and working files,"Parts 2, 3, and 4",Staff Director / Nancy Soderberg; NSC regional and speechwriting files,Day 1 / 07.06,Request for Regional Proliferation Cases: North Korea PC/DC meeting notes and working files.,"Pull OA/ID 1394 North Korea PC/DC notes from November 1993 through October 1994, plus May 28, 1996.","Pull OA/ID 1394 North Korea PC/DC notes from November 1993 through October 1994, plus May 28, 1996.; Pull OA/ID 1406 North Korea July 1993 and May-June 1994 folders.; Use Intelligence Programs North Korea/North Korea-Nuclear rows as a second-day source lane if access allows.",Agreed Framework; DC meeting; DPRK; North Korea; PC meeting,"The existing regional chapter is DPRK-heavy but still needs actual PC/DC sequence records, not only file-unit titles.",Single-rationale request packet.,,,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Parts 2, 3, and 4, OA/ID 3029. De-duplicated request packet; verify exact box, folder title, item date, classification, and pagination on site."
41,Day 1,Day 1 / Packet 37,A,OA/ID 3032,OA/ID request,2,Counterproliferation; Regional Proliferation Cases,"Intelligence Programs counterproliferation and restricted-group files; Iran, Iraq, UNSCOM, and regional WMD files","Part 2; Parts 2, 3, and 4","Intelligence Programs / George Tenet, Rand Beers, Don Mitchell, Edward Appel; Near East and South Asian Affairs; Staff Director; Legal Advisor; Intelligence Programs",Day 1 / 08.09; Day 2 / 10.06,"Request once; supports Counterproliferation, Regional Proliferation Cases across 2 staged clusters.",Pull Legal Advisor Iran missile sanctions and WMD folders only after policy folders identify decision dates.,"Pull Legal Advisor Iran missile sanctions and WMD folders only after policy folders identify decision dates.; Pull NESA Iraq/UNSCOM and Iran WMD folders from OA/ID 723-729 and 255.; Pull OA/ID 2483 Nonproliferation, North Korea, and North Korea-Nuclear folders.; Pull OA/ID 2498 Counterproliferation, 1996 and OA/ID 2523 Restricted Group Meeting (Nonproliferation), 1995.; Pull Staff Director Iraq working files and UNSCOM rows in OA/ID 1405, 1417, and 1418 if time permits.; Use OA/ID 3032 Iran/Iraq folders and OA/ID 2639 CTBT/Chemical Weapons as secondary target lanes.",chemical weapons; counterproliferation; Iran; Iraq; missile sanctions; nonproliferation; North Korea nuclear; restricted group; UNSCOM; WMD,"Counterproliferation needs intelligence support, WMD threat, and regional target records, not only PDD/NSC-18 public text.; This addresses the biggest regional imbalance: North Korea currently dominates, while Iraq/UNSCOM and Iran WMD/missile issues are underbuilt.",Collapsed 2 queue rows into one reading-room request for OA/ID 3032.,,,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Part 2, Parts 2, 3, and 4, OA/ID 3032. De-duplicated request packet; verify exact box, folder title, item date, classification, and pagination on site."
42,Day 1,Day 1 / Packet 38,A,OA/ID 3112,OA/ID request,2,Nonproliferation Regimes; Regional Proliferation Cases,"Iran, Iraq, UNSCOM, and regional WMD files; Legal Advisor treaty and sanctions stack","Part 3; Parts 2, 3, and 4","Legal Advisor / Baker, Krass, DeRosa, Sparks; Near East and South Asian Affairs; Staff Director; Legal Advisor; Intelligence Programs",Day 1 / 08.10; Day 2 / 12.08,"Request once; supports Nonproliferation Regimes, Regional Proliferation Cases across 2 staged clusters.",Avoid spending first-day time on broad legal files unless they connect to a known decision date.,"Avoid spending first-day time on broad legal files unless they connect to a known decision date.; Prioritize CWC, BWC, CTBT, START II, HEU, WMD, and Iran missile sanctions folders.; Pull Legal Advisor Iran missile sanctions and WMD folders only after policy folders identify decision dates.; Pull NESA Iraq/UNSCOM and Iran WMD folders from OA/ID 723-729 and 255.; Pull Staff Director Iraq working files and UNSCOM rows in OA/ID 1405, 1417, and 1418 if time permits.; Use Legal Advisor files to verify legal authority, implementation language, and executive-order handling.",ABM; BWC; chemical weapons; CTBT; CWC; HEU; Iran; Iran missile sanctions; Iraq; missile sanctions; START II; UNSCOM; WMD,"The legal files can close citation gaps on CWC regulations, BWC, CTBT, START II, ABM/NMD, HEU executive orders, and Iran missile sanctions.; This addresses the biggest regional imbalance: North Korea currently dominates, while Iraq/UNSCOM and Iran WMD/missile issues are underbuilt.",Collapsed 2 queue rows into one reading-room request for OA/ID 3112.,,,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Part 3, Parts 2, 3, and 4, OA/ID 3112. De-duplicated request packet; verify exact box, folder title, item date, classification, and pagination on site."
43,Day 1,Day 1 / Packet 39,A,OA/ID 3115,OA/ID request,2,Nonproliferation Regimes; Chemical and Biological Weapons,"CWC ratification, BWC, Russian BW/CW, and chemical demilitarization; Legal Advisor treaty and sanctions stack","Part 3; Parts 1, 3, and 4","Defense Policy, Legal Advisor, Speechwriting; Legal Advisor / Baker, Krass, DeRosa, Sparks",Day 1 / 06.06; Day 2 / 12.10,"Request once; supports Nonproliferation Regimes, Chemical and Biological Weapons across 2 staged clusters.",Avoid spending first-day time on broad legal files unless they connect to a known decision date.,"Avoid spending first-day time on broad legal files unless they connect to a known decision date.; Prioritize CWC, BWC, CTBT, START II, HEU, WMD, and Iran missile sanctions folders.; Pull Defense Policy CWC ratification folders in OA/ID 381, 939, and 844.; Pull Legal Advisor CWC/BWC folders: OA/ID 1007, 2471, 3115, 3311, 3390, and 3393.; Pull Speechwriting CWC folders only after internal policy folders, using them to trace public-language clearance.; Use Legal Advisor files to verify legal authority, implementation language, and executive-order handling.",ABM; BWC; chemical demilitarization; CTBT; CWC; HEU; Iran missile sanctions; Russian BW; Russian CW; START II; verification; WMD,"The legal files can close citation gaps on CWC regulations, BWC, CTBT, START II, ABM/NMD, HEU executive orders, and Iran missile sanctions.; This turns the CBW chapter from public letters into a real ratification, verification, and Russian compliance source map.",Collapsed 2 queue rows into one reading-room request for OA/ID 3115.,,,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Part 3, Parts 1, 3, and 4, OA/ID 3115. De-duplicated request packet; verify exact box, folder title, item date, classification, and pagination on site."
44,Day 1,Day 1 / Packet 40,A,OA/ID 3311,OA/ID request,1,Chemical and Biological Weapons,"CWC ratification, BWC, Russian BW/CW, and chemical demilitarization","Parts 1, 3, and 4","Defense Policy, Legal Advisor, Speechwriting",Day 1 / 06.07,"Request for Chemical and Biological Weapons: CWC ratification, BWC, Russian BW/CW, and chemical demilitarization.","Pull Defense Policy CWC ratification folders in OA/ID 381, 939, and 844.","Pull Defense Policy CWC ratification folders in OA/ID 381, 939, and 844.; Pull Legal Advisor CWC/BWC folders: OA/ID 1007, 2471, 3115, 3311, 3390, and 3393.; Pull Speechwriting CWC folders only after internal policy folders, using them to trace public-language clearance.",BWC; chemical demilitarization; CWC; Russian BW; Russian CW; verification,"This turns the CBW chapter from public letters into a real ratification, verification, and Russian compliance source map.",Single-rationale request packet.,,,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Parts 1, 3, and 4, OA/ID 3311. De-duplicated request packet; verify exact box, folder title, item date, classification, and pagination on site."
45,Day 1,Day 1 / Packet 41,A,OA/ID 3331,OA/ID request,1,NPT and CTBT,"PRD-19, CTB negotiations, and nuclear-testing policy",Part 1,Defense Policy / Robert Bell and Steven Andreasen,Day 1 / 02.06,"Request for NPT and CTBT: PRD-19, CTB negotiations, and nuclear-testing policy.","For each folder, record exact folder title, date span, classification/restriction markings, item titles, and page ranges.","For each folder, record exact folder title, date span, classification/restriction markings, item titles, and page ranges.; Prioritize OA/ID 267 PRD-19 folders and OA/ID 2899/3333 Andreasen PRD-19 folders.; Then pull OA/ID 381 CTB July-August 1993 folders and OA/ID 3331 CTB negotiations/nuclear testing/France folders.",Comprehensive Test Ban; CTB; hydronuclear; nuclear testing; PRD-19; verification,The public site already has CTBT statements. These folders are the likely internal decision record behind them.,Single-rationale request packet.,,,,,,,,,,,,,,,,"Source: Clinton Presidential Library, 2013-0185-M folder-title lists, Part 1, OA/ID 3331. De-duplicated request packet; verify exact box, folder title, item date, classification, and pagination on site."
